NumberOfSamples	CYT	ERL	EXC	ME1	ME2	ME3	MIT	NUC	POX	VAC	
121-4	0.2880	0.0065	0.2195	0.2730	0.3155	0.2160	0.4280	0.3240	0.0635	0.0715
122-3	0.3900	0.0520	0.1445	0.2375	0.2220	0.2090	0.3700	0.2810	0.0780	0.1180
123-8	0.4460	0.0165	0.2040	0.2035	0.3265	0.1445	0.4275	0.3660	0.0735	0.0815
124-1	0.4660	0.0560	0.0705	0.0860	0.1015	0.2080	0.3665	0.3895	0.0160	0.0280
125-5	0.3855	0.0300	0.1910	0.2180	0.2570	0.1775	0.4755	0.4090	0.0600	0.0735
126-1	0.4690	0.0110	0.1445	0.1280	0.2665	0.1965	0.4655	0.4065	0.0190	0.0615
127-7	0.4410	0.0120	0.1385	0.1585	0.2855	0.2745	0.4150	0.3930	0.1030	0.0985
128-3	0.5020	0.0000	0.0750	0.0990	0.1865	0.2135	0.4760	0.4875	0.0265	0.0480
129-4	0.4510	0.0065	0.1195	0.1510	0.2785	0.2160	0.4740	0.2945	0.0490	0.0650
130-10	0.5520	0.0015	0.0995	0.0855	0.1950	0.2170	0.5360	0.3915	0.0850	0.0685
131-3	0.4255	0.0090	0.1595	0.1285	0.2890	0.2130	0.3765	0.4100	0.0555	0.1155
132-1	0.4325	0.0055	0.1035	0.1275	0.1715	0.1070	0.4215	0.3655	0.0460	0.1095
133-10	0.5045	0.0010	0.1120	0.0460	0.1895	0.1925	0.4520	0.4815	0.0265	0.0565
134-10	0.3885	0.0045	0.0980	0.0840	0.2480	0.4305	0.5055	0.4800	0.0470	0.0640
135-8	0.4375	0.0015	0.0760	0.2020	0.2230	0.2420	0.4780	0.3640	0.0385	0.0655
136-7	0.4175	0.0025	0.1390	0.1685	0.2230	0.4095	0.3685	0.4230	0.0240	0.1545
137-6	0.4520	0.0005	0.0560	0.0310	0.2305	0.1950	0.3430	0.4205	0.0230	0.0720
138-5	0.3735	0.0050	0.0990	0.1075	0.2440	0.2475	0.3460	0.2955	0.0695	0.0670
139-6	0.3475	0.0030	0.1130	0.0460	0.1530	0.1305	0.3960	0.3385	0.0855	0.0620
140-2	0.3575	0.0855	0.1940	0.1370	0.2675	0.2395	0.4160	0.3285	0.0690	0.0930
141-1	0.4760	0.0120	0.1685	0.0730	0.1700	0.2045	0.4120	0.3855	0.0280	0.0830
142-6	0.4280	0.0075	0.1585	0.1490	0.2155	0.2230	0.5065	0.3645	0.0265	0.0905
143-1	0.5255	0.0135	0.1895	0.0855	0.1435	0.1925	0.4285	0.4345	0.0165	0.0640
144-6	0.4625	0.0010	0.0935	0.0510	0.2610	0.3480	0.4510	0.4205	0.0235	0.0505
145-5	0.3055	0.0035	0.1570	0.1435	0.2660	0.2640	0.4020	0.3510	0.0285	0.0795
146-8	0.4675	0.0045	0.1000	0.0750	0.1615	0.2560	0.5065	0.4840	0.0335	0.0705
147-4	0.4295	0.0860	0.1265	0.1655	0.2650	0.2060	0.3910	0.4455	0.0415	0.0715
148-7	0.6290	0.0010	0.1120	0.1125	0.1655	0.3280	0.5035	0.5520	0.0480	0.0655
149-4	0.4185	0.0145	0.1970	0.1590	0.2310	0.3225	0.4535	0.4390	0.0280	0.0925
