NumberOfSamples	CYT	ERL	EXC	ME1	ME2	ME3	MIT	NUC	POX	VAC	
99-8	0.5500	0.0000	0.0000	0.0000	0.0100	0.0050	0.0300	3.2000	0.0000	0.0000
100-8	4.5300	0.0000	0.0050	0.0000	0.0050	0.0050	0.1000	0.5100	0.0000	0.0000
101-8	0.2700	0.0000	0.0050	0.0000	0.0150	0.0100	0.1500	3.8450	0.0050	0.0000
102-1	0.1250	0.0000	0.0000	0.0000	0.0000	0.0200	0.0250	5.6100	0.0000	0.0000
103-8	0.2200	0.0000	0.0000	0.0000	0.0000	0.0050	0.0050	1.9350	0.0000	0.0000
104-8	0.2750	0.0000	0.0500	0.0000	0.0850	0.0350	0.0250	2.6650	0.0500	0.0000
105-8	0.0300	0.0000	0.0000	0.2400	0.0050	3.8750	0.0100	0.1400	0.0000	0.0150
106-8	0.1400	0.0000	0.0000	0.0100	0.2250	0.0050	0.0100	0.2300	0.0300	0.2250
107-1	0.6650	0.0000	0.0050	0.0000	0.0100	0.0000	0.7600	0.6450	0.0200	0.0000
108-1	3.2450	0.0000	0.0000	0.0000	0.0050	0.0000	0.5700	0.3100	0.0000	0.0000
109-8	0.1700	0.0000	0.0000	0.0050	0.0000	0.0000	0.0300	0.6950	0.0000	0.0550
110-1	0.5650	0.0000	0.0100	0.0000	0.0350	0.2500	0.0100	0.5400	0.0300	0.0000
111-1	1.0150	0.0000	0.0000	0.0000	0.0100	0.0800	0.0150	1.0200	0.0000	0.0000
112-8	1.5500	0.0000	0.0000	0.0000	0.0050	0.0050	0.0000	1.4850	0.0100	0.0000
113-4	0.0000	0.0350	0.0050	4.4850	0.1300	0.0550	0.0150	0.0100	0.0000	0.0100
114-4	0.0000	0.0150	0.0050	5.6050	0.0500	0.0500	0.0050	0.0150	0.0000	0.0550
115-5	0.0000	0.0000	0.0050	4.7850	0.0600	0.0950	0.0000	0.0500	0.0000	0.0650
116-1	0.8150	0.0000	0.0000	0.0000	0.0000	0.0800	0.0500	0.8900	0.0000	0.0000
117-1	1.1550	0.0000	0.0000	0.0000	0.0050	0.0050	0.0050	1.1750	0.0050	0.0000
118-1	3.9100	0.0000	0.0050	0.0000	0.0000	0.0050	0.0350	0.1450	0.0000	0.0000
119-1	1.3650	0.0000	0.0000	0.0000	0.0000	0.0000	0.0050	1.3600	0.0000	0.0000
120-1	5.3250	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
121-1	1.4800	0.0000	0.0100	0.0000	0.0200	0.0200	0.0150	1.5900	0.0450	0.0000
122-1	4.6950	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.1050	0.0000	0.0000
123-1	3.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2400	0.0800	0.0000	0.0000
124-1	6.1050	0.0000	0.0000	0.0000	0.0000	0.0000	0.0650	0.0200	0.0000	0.0000
125-1	8.8550	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000
126-8	8.3800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0300	0.0000	0.0000
127-1	1.7750	0.0000	0.0050	0.0000	0.0050	0.1050	0.0000	2.0150	0.0100	0.0000
128-1	3.6050	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0050	0.0000	0.0000
129-7	3.4450	0.0000	0.0000	0.0000	0.0000	0.0000	0.2650	0.0600	0.0000	0.0000
130-8	0.4650	0.0000	0.0000	0.0000	0.0000	0.0450	0.2400	0.4750	0.0000	0.0000
131-8	1.0950	0.0000	0.0000	0.0000	0.0000	0.0350	0.0000	1.1050	0.0000	0.0000
132-1	0.9850	0.0000	0.0000	0.0000	0.0000	0.0000	0.0150	0.9200	0.0000	0.0000
133-8	1.6950	0.0000	0.0000	0.0000	0.0000	0.0050	0.0050	1.5850	0.0000	0.0000
134-10	0.0050	0.0550	0.0050	0.4900	0.2900	0.0100	0.0450	0.0600	0.0000	0.4650
135-7	0.0000	0.0850	0.0050	0.3300	0.4850	0.0050	0.0300	0.1000	0.0050	0.5000
136-7	0.4250	0.0000	0.0000	0.0000	0.0000	0.0250	0.3950	0.1100	0.0000	0.0000
137-5	0.0000	0.0000	0.0050	0.4550	0.4750	0.4550	0.0250	0.0300	0.0050	0.0300
138-8	0.0000	0.0200	0.0000	0.1500	0.0300	0.0100	1.8700	0.0700	0.0000	0.0700
139-5	0.0000	0.0150	0.0100	0.4700	0.0150	0.2450	0.3400	0.5200	0.0050	0.0300
140-8	0.1250	0.0000	0.0000	0.0000	0.0050	0.2450	0.2750	0.3000	0.0000	0.0000
141-1	0.9200	0.0000	0.0200	0.0000	0.0350	0.0000	0.0900	0.9850	0.0100	0.0150
142-1	3.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
143-8	0.6300	0.0450	0.1100	0.0450	0.7600	0.0000	0.0650	0.1100	0.0350	0.0050
144-1	3.4750	0.0000	0.0000	0.0000	0.0000	0.0000	0.0250	0.6250	0.0000	0.0000
145-1	6.3650	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0050	0.0000	0.0000
146-7	0.0550	0.0000	0.0000	0.0000	0.0100	0.0000	0.8100	0.7500	0.0000	0.0300
147-1	1.1150	0.0000	0.0000	0.0000	0.0000	0.0100	1.1200	0.0550	0.0000	0.0000
148-8	0.0650	0.0000	0.0000	0.0000	0.0200	0.0950	0.6750	0.6650	0.0050	0.0050
149-7	0.8400	0.0000	0.0000	0.0000	0.0000	0.0000	0.8700	0.0850	0.0000	0.0000
